,Image path,Directory,Class ID,Class name
0,CHR/518_CHR_97_GalaxyS7_20170916_181256_16.jpg,CHR,2,_Quercus rubra_
1,CHR/503_CHR_39_GalaxyS7_20170916_161806_14.jpg,CHR,2,_Quercus rubra_
2,CHR/478_CHR_132_GalaxyS7_20170916_142627_19.jpg,CHR,2,_Quercus rubra_
3,CHR/52_CHR_82_Nexus 5_20170906_092540_2.jpg,CHR,2,_Quercus rubra_
4,CHR/680_CHR_147_GalaxyS5_20170713_105943_9.jpg,CHR,2,_Quercus rubra_
5,CHR/481_CHR_137_GalaxyS7_20170916_143231_8.jpg,CHR,2,_Quercus rubra_
6,CHR/80_CHR_62_Nexus 5_20170906_105412_16.jpg,CHR,2,_Quercus rubra_
7,CHR/484_CHR_201_GalaxyS7_20170916_150524_20.jpg,CHR,2,_Quercus rubra_
8,CHR/477_CHR_152_GalaxyS7_20170916_142426_14.jpg,CHR,2,_Quercus rubra_
9,CHR/495_CHR_74_GalaxyS7_20170916_154951_21.jpg,CHR,2,_Quercus rubra_
10,CHR/485_CHR_175_GalaxyS7_20170916_150927_21.jpg,CHR,2,_Quercus rubra_
11,CHR/528_CHR_160_GalaxyS7_20170918_120236_14.jpg,CHR,2,_Quercus rubra_
12,CHR/45_CHR_130_Nexus 5_20170608_094309_2.jpg,CHR,2,_Quercus rubra_
13,CHR/60_CHR_106_Nexus 5_20170906_095757_5.jpg,CHR,2,_Quercus rubra_
14,CHR/57_CHR_50_Nexus 5_20170906_093936_3.jpg,CHR,2,_Quercus rubra_
15,CHR/484_CHR_201_GalaxyS7_20170916_150524_34.jpg,CHR,2,_Quercus rubra_
16,CHR/41_CHR_83_GalaxyS7_20170607_134909_7.jpg,CHR,2,_Quercus rubra_
17,CHR/477_CHR_152_GalaxyS7_20170916_142426_28.jpg,CHR,2,_Quercus rubra_
18,CHR/528_CHR_160_GalaxyS7_20170918_120236_28.jpg,CHR,2,_Quercus rubra_
19,CHR/481_CHR_137_GalaxyS7_20170916_143231_15.jpg,CHR,2,_Quercus rubra_
20,CHR/530_CHR_75_GalaxyS7_20170607_135958_2.jpg,CHR,2,_Quercus rubra_
21,CHR/507_CHR_81_GalaxyS7_20170916_164911_8.jpg,CHR,2,_Quercus rubra_
22,CHR/527_CHR_124_GalaxyS7_20170918_115947_22.jpg,CHR,2,_Quercus rubra_
23,CHR/514_CHR_101_GalaxyS7_20170916_170647_5.jpg,CHR,2,_Quercus rubra_
24,CHR/524_CHR_127_GalaxyS7_20170916_182952_9.jpg,CHR,2,_Quercus rubra_
25,CHR/73_CHR_143_Nexus 5_20170906_100849_8.jpg,CHR,2,_Quercus rubra_
26,CHR/534_CHR_92_GalaxyS5_20170607_151119_16.jpg,CHR,2,_Quercus rubra_
27,CHR/680_CHR_147_GalaxyS5_20170713_105943_10.jpg,CHR,2,_Quercus rubra_
28,CHR/523_CHR_175_GalaxyS7_20170916_182628_6.jpg,CHR,2,_Quercus rubra_
29,CHR/503_CHR_39_GalaxyS7_20170916_161806_2.jpg,CHR,2,_Quercus rubra_
30,CHR/531_CHR_111_GalaxyS5_20170607_144448_29.jpg,CHR,2,_Quercus rubra_
31,CHR/675_CHR_96_GalaxyS5_20170615_104301_27.jpg,CHR,2,_Quercus rubra_
32,CHR/531_CHR_111_GalaxyS5_20170607_144448_9.jpg,CHR,2,_Quercus rubra_
33,CHR/500_CHR_33_GalaxyS7_20170916_161047_3.jpg,CHR,2,_Quercus rubra_
34,CHR/531_CHR_111_GalaxyS5_20170607_144448_15.jpg,CHR,2,_Quercus rubra_
35,CHR/54_CHR_77_Nexus 5_20170906_093431_9.jpg,CHR,2,_Quercus rubra_
36,CHR/674_CHR_162_GalaxyS5_20170615_103841_5.jpg,CHR,2,_Quercus rubra_
37,CHR/61_CHR_57_Nexus 5_20170906_095849_5.jpg,CHR,2,_Quercus rubra_
38,CHR/497_CHR_119_GalaxyS7_20170916_155349_14.jpg,CHR,2,_Quercus rubra_
39,CHR/44_CHR_140_Nexus 5_20170608_093912_15.jpg,CHR,2,_Quercus rubra_
40,CHR/488_CHR_81_GalaxyS7_20170916_152801_21.jpg,CHR,2,_Quercus rubra_
41,CHR/530_CHR_75_GalaxyS7_20170607_135958_49.jpg,CHR,2,_Quercus rubra_
42,CHR/78_CHR_148_Nexus 5_20170906_101236_15.jpg,CHR,2,_Quercus rubra_
43,CHR/497_CHR_119_GalaxyS7_20170916_155349_28.jpg,CHR,2,_Quercus rubra_
44,CHR/678_CHR_111_GalaxyS5_20170713_102734_17.jpg,CHR,2,_Quercus rubra_
45,CHR/497_CHR_119_GalaxyS7_20170916_155349_8.jpg,CHR,2,_Quercus rubra_
46,CHR/489_CHR_94_GalaxyS7_20170916_153023_12.jpg,CHR,2,_Quercus rubra_
47,CHR/44_CHR_140_Nexus 5_20170608_093912_29.jpg,CHR,2,_Quercus rubra_
48,CHR/678_CHR_111_GalaxyS5_20170713_102734_7.jpg,CHR,2,_Quercus rubra_
49,CHR/486_CHR_147_GalaxyS7_20170916_151807_16.jpg,CHR,2,_Quercus rubra_
50,CHR/65_CHR_150_Nexus 5_20170906_100148_8.jpg,CHR,2,_Quercus rubra_
51,CHR/676_CHR_134_GalaxyS5_20170615_115642_6.jpg,CHR,2,_Quercus rubra_
52,CHR/492_CHR_241_GalaxyS7_20170916_154101_21.jpg,CHR,2,_Quercus rubra_
53,CHR/72_CHR_135_Nexus 5_20170906_100806_7.jpg,CHR,2,_Quercus rubra_
54,CHR/510_CHR_45_GalaxyS7_20170916_165624_7.jpg,CHR,2,_Quercus rubra_
55,CHR/492_CHR_241_GalaxyS7_20170916_154101_35.jpg,CHR,2,_Quercus rubra_
56,CHR/511_CHR_74_GalaxyS7_20170916_170122_7.jpg,CHR,2,_Quercus rubra_
57,CHR/508_CHR_76_GalaxyS7_20170916_165247_6.jpg,CHR,2,_Quercus rubra_
58,CHR/58_CHR_107_Nexus 5_20170906_095604_16.jpg,CHR,2,_Quercus rubra_
59,CHR/529_CHR_304_GalaxyS7_20170918_120803_41.jpg,CHR,2,_Quercus rubra_
60,CHR/475_CHR_170_GalaxyS7_20170916_141940_16.jpg,CHR,2,_Quercus rubra_
61,CHR/76_CHR_160_Nexus 5_20170906_101055_15.jpg,CHR,2,_Quercus rubra_
62,CHR/534_CHR_92_GalaxyS7_20170607_150948_22.jpg,CHR,2,_Quercus rubra_
63,CHR/57_CHR_50_Nexus 5_20170906_093936_14.jpg,CHR,2,_Quercus rubra_
64,CHR/41_CHR_83_GalaxyS5_20170607_134920_39.jpg,CHR,2,_Quercus rubra_
65,CHR/502_CHR_79_GalaxyS7_20170916_161456_8.jpg,CHR,2,_Quercus rubra_
66,CHR/55_CHR_78_Nexus 5_20170906_093648_8.jpg,CHR,2,_Quercus rubra_
67,CHR/41_CHR_83_Nexus 5_20170607_134706_7.jpg,CHR,2,_Quercus rubra_
68,CHR/41_CHR_83_GalaxyS5_20170607_134920_11.jpg,CHR,2,_Quercus rubra_
69,CHR/53_CHR_52_Nexus 5_20170906_093353_3.jpg,CHR,2,_Quercus rubra_
70,CHR/512_CHR_84_GalaxyS7_20170916_170238_17.jpg,CHR,2,_Quercus rubra_
71,CHR/520_CHR_188_GalaxyS7_20170916_181952_16.jpg,CHR,2,_Quercus rubra_
72,CHR/66_CHR_153_Nexus 5_20170906_100243_11.jpg,CHR,2,_Quercus rubra_
73,CHR/515_CHR_36_GalaxyS7_20170916_174810_3.jpg,CHR,2,_Quercus rubra_
74,CHR/74_CHR_96_Nexus 5_20170906_100932_6.jpg,CHR,2,_Quercus rubra_
75,CHR/530_CHR_75_GalaxyS5_20170607_140002_43.jpg,CHR,2,_Quercus rubra_
76,CHR/77_CHR_146_Nexus 5_20170906_101151_12.jpg,CHR,2,_Quercus rubra_
77,CHR/41_CHR_83_Nexus 5_20170607_134706_23.jpg,CHR,2,_Quercus rubra_
78,CHR/487_CHR_61_GalaxyS7_20170916_152534_7.jpg,CHR,2,_Quercus rubra_
79,CHR/501_CHR_36_GalaxyS7_20170916_161242_8.jpg,CHR,2,_Quercus rubra_
80,CHR/41_CHR_83_GalaxyS7_20170607_134909_26.jpg,CHR,2,_Quercus rubra_
81,CHR/478_CHR_132_GalaxyS7_20170916_142627_5.jpg,CHR,2,_Quercus rubra_
82,CHR/496_CHR_71_GalaxyS7_20170916_155202_20.jpg,CHR,2,_Quercus rubra_
